,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,UATYP10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10
340867,6,59,1101,1000,60590011011000,Block 1000,G5040,U,51445.0,U,S,2655,0,33.9459922,-117.95126440000001
352079,6,59,1101,1001,60590011011001,Block 1001,G5040,U,51445.0,U,S,1668,0,33.94599229999999,-117.95259750000001
345324,6,59,1101,1002,60590011011002,Block 1002,G5040,U,51445.0,U,S,3717,0,33.9460117,-117.95453540000001
360266,6,59,1101,1003,60590011011003,Block 1003,G5040,U,51445.0,U,S,877,0,33.9460402,-117.95729509999998
362257,6,59,1101,1004,60590011011004,Block 1004,G5040,U,51445.0,U,S,6388,0,33.9458152,-117.9573003
362255,6,59,1101,1005,60590011011005,Block 1005,G5040,U,51445.0,U,S,77458,0,33.9448334,-117.952378
354999,6,59,1101,1006,60590011011006,Block 1006,G5040,U,51445.0,U,S,53806,0,33.944937,-117.9553172
327593,6,59,1101,1007,60590011011007,Block 1007,G5040,U,51445.0,U,S,30488,0,33.943468100000004,-117.9524872
340113,6,59,1101,1008,60590011011008,Block 1008,G5040,U,51445.0,U,S,35665,0,33.9433649,-117.95729890000001
359862,6,59,1101,1009,60590011011009,Block 1009,G5040,U,51445.0,U,S,2784,0,33.9426257,-117.95731570000001
331897,6,59,1101,1010,60590011011010,Block 1010,G5040,U,51445.0,U,S,20649,0,33.9445998,-117.95697320000001
359861,6,59,1101,1011,60590011011011,Block 1011,G5040,U,51445.0,U,S,14077,0,33.942052399999994,-117.9559238
357816,6,59,1101,1012,60590011011012,Block 1012,G5040,U,51445.0,U,S,33702,0,33.9427533,-117.95518510000001
357815,6,59,1101,1013,60590011011013,Block 1013,G5040,U,51445.0,U,S,29943,0,33.9427081,-117.95248319999999
359534,6,59,1101,1014,60590011011014,Block 1014,G5040,U,51445.0,U,S,31716,0,33.9419297,-117.9525578
338729,6,59,1101,1015,60590011011015,Block 1015,G5040,U,51445.0,U,S,30514,0,33.940619299999994,-117.9513001
355779,6,59,1101,1016,60590011011016,Block 1016,G5040,U,51445.0,U,S,93863,0,33.940123299999996,-117.9542428
329243,6,59,1101,1017,60590011011017,Block 1017,G5040,U,51445.0,U,S,23167,0,33.9409565,-117.9557316
344030,6,59,1101,1018,60590011011018,Block 1018,G5040,U,51445.0,U,S,10042,0,33.939388,-117.95142340000001
341791,6,59,1101,2000,60590011012000,Block 2000,G5040,U,51445.0,U,S,90167,0,33.945080299999994,-117.9732471
357495,6,59,1101,2001,60590011012001,Block 2001,G5040,U,51445.0,U,S,14945,0,33.9448527,-117.97515179999999
352649,6,59,1101,2002,60590011012002,Block 2002,G5040,U,51445.0,U,S,15846,0,33.94487720000001,-117.9742605
352774,6,59,1101,2003,60590011012003,Block 2003,G5040,U,51445.0,U,S,4137,0,33.9436944,-117.9710183
356820,6,59,1101,2004,60590011012004,Block 2004,G5040,U,51445.0,U,S,26361,0,33.9435376,-117.9726737
359537,6,59,1101,2005,60590011012005,Block 2005,G5040,U,51445.0,U,S,12954,0,33.9421998,-117.974512
343981,6,59,1101,2006,60590011012006,Block 2006,G5040,U,51445.0,U,S,33553,0,33.9426837,-117.9753973
353356,6,59,1101,2007,60590011012007,Block 2007,G5040,U,51445.0,U,S,12821,0,33.9435763,-117.9757658
345098,6,59,1101,2008,60590011012008,Block 2008,G5040,U,51445.0,U,S,2455,0,33.9412318,-117.97634170000002
327597,6,59,1101,2009,60590011012009,Block 2009,G5040,U,51445.0,U,S,27094,0,33.9411243,-117.97446129999999
350911,6,59,1101,2010,60590011012010,Block 2010,G5040,U,51445.0,U,S,29977,0,33.942327,-117.97313
327595,6,59,1101,2011,60590011012011,Block 2011,G5040,U,51445.0,U,S,12122,0,33.9427662,-117.97144979999999
327596,6,59,1101,2012,60590011012012,Block 2012,G5040,U,51445.0,U,S,11971,0,33.9419691,-117.9714476
334956,6,59,1101,2013,60590011012013,Block 2013,G5040,U,51445.0,U,S,28972,0,33.9409248,-117.97212160000001
338799,6,59,1101,2014,60590011012014,Block 2014,G5040,U,51445.0,U,S,11893,0,33.940582,-117.9750385
362554,6,59,1101,2015,60590011012015,Block 2015,G5040,U,51445.0,U,S,6908,0,33.940325,-117.9760798
362556,6,59,1101,2016,60590011012016,Block 2016,G5040,U,51445.0,U,S,440,0,33.9399473,-117.9761953
346466,6,59,1101,2017,60590011012017,Block 2017,G5040,U,51445.0,U,S,9976,0,33.9401223,-117.97419109999998
334710,6,59,1101,2018,60590011012018,Block 2018,G5040,U,51445.0,U,S,11784,0,33.9402502,-117.97147040000002
359864,6,59,1101,2019,60590011012019,Block 2019,G5040,U,51445.0,U,S,1084,0,33.9405166,-117.9709605
345327,6,59,1101,3000,60590011013000,Block 3000,G5040,U,51445.0,U,S,13859,0,33.9454698,-117.95865259999998
355563,6,59,1101,3001,60590011013001,Block 3001,G5040,U,51445.0,U,S,4965,0,33.9446623,-117.9586757
334053,6,59,1101,3002,60590011013002,Block 3002,G5040,U,51445.0,U,S,2908,0,33.945336499999996,-117.95932859999998
328829,6,59,1101,3003,60590011013003,Block 3003,G5040,U,51445.0,U,S,180292,0,33.941427000000004,-117.96145209999999
330865,6,59,1101,3004,60590011013004,Block 3004,G5040,U,51445.0,U,S,5939,0,33.9440136,-117.9597951
330863,6,59,1101,3005,60590011013005,Block 3005,G5040,U,51445.0,U,S,1387,0,33.9409053,-117.95922759999998
338824,6,59,1101,3006,60590011013006,Block 3006,G5040,U,51445.0,U,S,29070,0,33.9441185,-117.96262730000001
334052,6,59,1101,3007,60590011013007,Block 3007,G5040,U,51445.0,U,S,11963,0,33.942566299999996,-117.9596719
357239,6,59,1101,3008,60590011013008,Block 3008,G5040,U,51445.0,U,S,9598,0,33.9423629,-117.96042959999998
330864,6,59,1101,3009,60590011013009,Block 3009,G5040,U,51445.0,U,S,404,0,33.943594899999994,-117.9592301
334049,6,59,1101,3010,60590011013010,Block 3010,G5040,U,51445.0,U,S,36558,0,33.9424301,-117.96299740000002
342411,6,59,1101,3011,60590011013011,Block 3011,G5040,U,51445.0,U,S,24793,0,33.9448636,-117.9609929
334050,6,59,1101,3012,60590011013012,Block 3012,G5040,U,51445.0,U,S,24432,0,33.9426864,-117.96426059999999
353401,6,59,1101,3013,60590011013013,Block 3013,G5040,U,51445.0,U,S,17357,0,33.94477979999999,-117.96428290000001
329244,6,59,1101,3014,60590011013014,Block 3014,G5040,U,51445.0,U,S,15025,0,33.9458537,-117.9629794
359535,6,59,1101,3015,60590011013015,Block 3015,G5040,U,51445.0,U,S,20859,0,33.9452389,-117.9625562
