,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,UATYP10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10
107601,6,27,100,1000,60270001001000,Block 1000,G5040,R,,,S,10946,0,37.464941499999995,-117.91787020000001
111402,6,27,100,1001,60270001001001,Block 1001,G5040,R,,,S,47809003,0,37.442091999999995,-117.9930848
108347,6,27,100,1002,60270001001002,Block 1002,G5040,R,,,S,55995,0,37.462773600000006,-117.9404459
111580,6,27,100,1003,60270001001003,Block 1003,G5040,R,,,S,3510704,0,37.4610821,-117.9725986
111978,6,27,100,1004,60270001001004,Block 1004,G5040,R,,,S,85522,0,37.4571521,-117.97314909999999
107347,6,27,100,1005,60270001001005,Block 1005,G5040,R,,,S,25444141,0,37.441187,-118.0752017
111399,6,27,100,1006,60270001001006,Block 1006,G5040,R,,,S,17217704,0,37.449759,-118.1528527
111541,6,27,100,1007,60270001001007,Block 1007,G5040,R,,,S,3491407,0,37.4416058,-118.1999457
111400,6,27,100,1008,60270001001008,Block 1008,G5040,R,,,S,63912886,0,37.432044299999994,-118.25880659999999
109659,6,27,100,1009,60270001001009,Block 1009,G5040,R,,,S,121767,1014,37.4194605,-118.3248063
109864,6,27,100,1010,60270001001010,Block 1010,G5040,R,,,S,22304,0,37.4052345,-118.314682
109863,6,27,100,1011,60270001001011,Block 1011,G5040,R,,,S,212192,0,37.4213955,-118.3196269
110478,6,27,100,1012,60270001001012,Block 1012,G5040,R,,,S,53294,0,37.441022700000005,-118.30594620000001
110164,6,27,100,1013,60270001001013,Block 1013,G5040,R,,,S,9779,0,37.4076579,-118.3166023
109660,6,27,100,1014,60270001001014,Block 1014,G5040,R,,,S,25632,0,37.4212084,-118.3229529
109658,6,27,100,1015,60270001001015,Block 1015,G5040,R,,,S,301725,0,37.4583457,-118.2883553
111542,6,27,100,1016,60270001001016,Block 1016,G5040,R,,,S,2743482,0,37.4563948,-118.3055307
110468,6,27,100,1017,60270001001017,Block 1017,G5040,R,,,S,5023,0,37.462689700000006,-118.2957722
111905,6,27,100,1018,60270001001018,Block 1018,G5040,R,,,S,53945,0,37.46204829999999,-118.2932605
111895,6,27,100,1019,60270001001019,Block 1019,G5040,R,,,S,2835,0,37.4623559,-118.2950034
110342,6,27,100,1020,60270001001020,Block 1020,G5040,R,,,S,147466,0,37.4612608,-118.3241774
110341,6,27,100,1021,60270001001021,Block 1021,G5040,R,,,S,401727,0,37.4601174,-118.3322273
111225,6,27,100,1022,60270001001022,Block 1022,G5040,R,,,S,104251,0,37.4595065,-118.32963149999999
108567,6,27,100,1023,60270001001023,Block 1023,G5040,R,,,S,879717,0,37.459387400000004,-118.34332690000001
109655,6,27,100,1024,60270001001024,Block 1024,G5040,R,,,S,103598,0,37.457881799999996,-118.3368375
107126,6,27,100,1025,60270001001025,Block 1025,G5040,R,,,S,719464,0,37.4492546,-118.33877620000001
107219,6,27,100,1026,60270001001026,Block 1026,G5040,R,,,S,419029,0,37.4527303,-118.3458423
110473,6,27,100,1027,60270001001027,Block 1027,G5040,R,,,S,1416861,0,37.4417445,-118.344923
111898,6,27,100,1028,60270001001028,Block 1028,G5040,R,,,S,1434,0,37.4375784,-118.3403656
109663,6,27,100,1029,60270001001029,Block 1029,G5040,R,,,S,4983,0,37.4345395,-118.3390321
109825,6,27,100,1030,60270001001030,Block 1030,G5040,R,,,S,4370431,0,37.4488279,-118.3255909
110295,6,27,100,1031,60270001001031,Block 1031,G5040,R,,,S,22814,0,37.458617,-118.32838490000002
110161,6,27,100,1032,60270001001032,Block 1032,G5040,R,,,S,79798,0,37.4599585,-118.29156019999999
109656,6,27,100,1033,60270001001033,Block 1033,G5040,R,,,S,26036,0,37.434442700000005,-118.3487242
107220,6,27,100,1034,60270001001034,Block 1034,G5040,R,,,S,993495,0,37.425518100000005,-118.3459353
110470,6,27,100,1035,60270001001035,Block 1035,G5040,R,,,S,870357,0,37.426661100000004,-118.33969499999999
110299,6,27,100,1036,60270001001036,Block 1036,G5040,R,,,S,403902,0,37.4296369,-118.33489640000002
109899,6,27,100,1037,60270001001037,Block 1037,G5040,R,,,S,326424,0,37.4343839,-118.33253909999998
110808,6,27,100,1038,60270001001038,Block 1038,G5040,R,,,S,769380,0,37.4107106,-118.34738359999999
110472,6,27,100,1039,60270001001039,Block 1039,G5040,R,,,S,245121,0,37.414694299999994,-118.3443675
109661,6,27,100,1040,60270001001040,Block 1040,G5040,R,,,S,954134,0,37.4110598,-118.34102639999999
107221,6,27,100,1041,60270001001041,Block 1041,G5040,R,,,S,417444,0,37.4078904,-118.33775220000001
